,RandomForest,ExtraTrees,GradientBoosting,HistGradientBoosting,AdaBoost,LinearSVC,SGD,SVC,GaussianNB,DecisionTree,XGBoost,LightGBM
danceability,0.10405279954412273,0.11120125201340564,0.1132310968285127,0.10202163343642513,0.07087509600570058,0.08810405537256898,0.010871730210379588,0.0,0.0004912188519090444,0.11389435236496488,0.09379845,0.09057527539779682
energy,0.08353079209247305,0.08826512505532999,0.056201446024913206,0.05046108075182455,0.03980675689348095,0.01633544887593848,0.008718572376906146,0.0,7.914922115186417e-05,0.060699736095787986,0.052482642,0.07915136678906569
key,0.029340462849558168,0.026145848009682605,0.005081574459285302,0.009175888333547707,0.0,0.07385517266751601,0.028314810498918454,0.0,0.0012097321793747785,0.004219242593357943,0.012352051,0.03243574051407589
loudness,0.07694183581625773,0.05685965624595466,0.0331918034157582,0.06922617002303079,0.07709801368235689,0.21514215203979933,0.16120127674631637,0.0,0.4347555606919009,0.019948053949533442,0.03419461,0.08098735210118319
mode,0.010383243124779638,0.018878699892323363,0.011700934706120802,0.02618049825838409,0.0,0.06965091112680737,0.008086700098662018,0.0,0.0004248828174242154,0.011035033867924694,0.0694912,0.01040391676866585
speechiness,0.07450839462525984,0.043105646867686226,0.07240825520186107,0.07969727475968263,0.03563678698722186,0.005033210947479059,0.0001623307678443609,0.0,0.0,0.0629144948438542,0.04972367,0.10832313341493269
acousticness,0.11135730657788429,0.13180178078759192,0.13487876027921414,0.19813406895521857,0.2565875341283075,0.04472048729774293,0.009811910673525404,0.0,0.0003924112338874522,0.140900465010928,0.11024104,0.09445124439004488
instrumentalness,0.16199519166025472,0.2608128423243353,0.40297591727915605,0.2765580928786864,0.2090090384031295,0.13266693065182722,0.016217715257288812,0.0,0.002908555938548457,0.44370915201645167,0.38102713,0.08629130966952264
liveness,0.05117922449166443,0.030654294918128395,0.012337028762952007,0.007014839392932195,0.0,0.011538573716714039,0.0003293008733942355,0.0,2.4694518317297954e-05,0.0077573702679278765,0.0121669555,0.05813953488372093
valence,0.07170023924182245,0.06984336292059275,0.04424298443441853,0.047402183863787,0.06291579682984441,0.08308376691569028,0.011536730950488865,0.0,0.000429924008500665,0.03557546142872941,0.035177194,0.10383516931864545
tempo,0.05449867385818748,0.03046071910127135,0.021604415027456594,0.026359650939748708,0.0,0.010083312641910433,0.6390588370309815,0.0,0.009759440531907653,0.019101565628821527,0.018331176,0.06793145654834762
time_signature,0.007315934612281348,0.01718632653421966,0.003517344629628351,0.007285934743051675,0.0,0.14997514234972453,0.02368627835673917,0.0,-0.00042310401841905414,0.004417100298428337,0.03771403,0.010607915136678907
chorus_hit,0.050361814627143904,0.02760607136308204,0.010200316246084367,0.007851303319024438,0.0,0.0012701852628136227,0.06486178140869865,0.0,0.04678595931435206,0.009301386358515294,0.011387429,0.04814361485108119
sections,0.03723091283745125,0.038660724693152126,0.009147693855338956,0.013819729646879293,0.011663394283277433,0.09853561632251341,0.012576495245103078,0.0,0.08153660962947272,0.007379704821983238,0.030850051,0.032843737250102
duration_ms,0.07560317404085899,0.04851764927324414,0.06928042884929941,0.07881165069777689,0.23640758278668095,5.033810954328983e-06,0.004565529504753418,1.0,0.4216249650816719,0.0591468804527916,0.051062427,0.09587923296613628
