,RandomForest,ExtraTrees,GradientBoosting,HistGradientBoosting,AdaBoost,LinearSVC,SVC,SGD,GaussianNB,DecisionTree,XGBoost,LightGBM
danceability,0.10367975751832054,0.11292143614713193,0.1175376662669506,0.09962677252189378,0.07087509600570058,0.08810441245274958,0.0,0.01071522498107286,0.0004912188519090444,0.11313901882943503,0.08767312,0.08882294757665678
energy,0.08415902272491602,0.09148194983012312,0.05161041043187947,0.05378074908030406,0.03980675689348095,0.016335435770842836,0.0,0.008593648005109452,7.914922115186417e-05,0.06047154838497035,0.048237603,0.0820969337289812
key,0.026500903362002056,0.02556989925721679,0.0031407883394712678,0.009381002441236982,0.0,0.07385420402940304,0.0,0.027834838264743592,0.0012097321793747785,0.004491479900728589,0.01565816,0.029871414441147378
loudness,0.07332697208705613,0.05300891843563846,0.02706556427951063,0.06711757263178256,0.07709801368235689,0.21514088874697385,0.0,0.15785151598416092,0.4347555606919009,0.01926892747132653,0.033460546,0.0820969337289812
mode,0.00963008989142504,0.01897329919670704,0.013295261110290474,0.025912906466289316,0.0,0.06965122454776579,0.0,0.00798707595067193,0.0004248828174242154,0.011079503878200942,0.077226385,0.012067260138476756
speechiness,0.07351026849374613,0.04218947417281821,0.07340822663053627,0.08152196326857121,0.03563678698722186,0.005033237173797718,0.0,0.00015991743314261212,0.0,0.06294360884262537,0.0540012,0.10504451038575667
acousticness,0.11383594356220852,0.12965935433292697,0.14020402086598027,0.1920112297161182,0.2565875341283075,0.04472061341691025,0.0,0.009629940191139032,0.0003924112338874522,0.14114591833980042,0.10026111,0.10089020771513353
instrumentalness,0.17774129094744437,0.26893649403990416,0.42895548795756716,0.26446698149004194,0.2090090384031295,0.13266746238299446,0.0,0.015939177450828776,0.002908555938548457,0.4453833756232881,0.37690604,0.08664688427299704
liveness,0.049082793763346726,0.030230908032869295,0.008090443792297985,0.010762539670316684,0.0,0.011538633153388577,0.0,0.0003086642531195821,2.4694518317297954e-05,0.007776811798294701,0.017134044,0.05084075173095945
valence,0.0702861675431226,0.06870331126002825,0.038276391965951,0.04840284490034791,0.06291579682984441,0.08308408899296955,0.0,0.011386445021017646,0.000429924008500665,0.03553515884930849,0.038527917,0.10722057368941643
tempo,0.051840880889608164,0.029531846241057813,0.014322233103441922,0.0302484090802778,0.0,0.0100832278160897,0.0,0.6409307371964046,0.009759440531907653,0.019369664331470506,0.019238498,0.06231454005934718
time_signature,0.007291396280140668,0.016903322876465548,0.003720023065307162,0.008245239563813962,0.0,0.14997571466762874,0.0,0.023515451778713684,-0.00042310401841905414,0.00410270013629132,0.03367126,0.011869436201780416
chorus_hit,0.047582731006277135,0.027104833861434804,0.006038265238576368,0.00909703827723363,0.0,0.0012700775519989313,0.0,0.0679851615822589,0.04678595931435206,0.008946973602273091,0.014550607,0.051434223541048464
sections,0.03569422046235352,0.03790154910608254,0.008997831730062442,0.01566064248089645,0.011663394283277433,0.0985357454632713,0.0,0.012231324771076852,0.08153660962947272,0.007632770460325208,0.031144587,0.03105835806132542
duration_ms,0.07583756146803258,0.0468834032095949,0.06533738522217719,0.08376410841087542,0.23640758278668095,5.0338332157449645e-06,1.0,0.004930877136539628,0.4216249650816719,0.058712539551661225,0.052308965,0.09772502472799209
