,RandomForest,ExtraTrees,GradientBoosting,HistGradientBoosting,AdaBoost,LinearSVC,SGD,GaussianNB,DecisionTree,XGBoost,LightGBM
danceability,0.10422900086119727,0.11577290363243209,0.11324364632526089,0.0964525307618919,0.07087509600570058,0.08810441245274958,0.010616649550356582,0.0004912188519090444,0.11386353671566894,0.08767312,0.08882294757665678
energy,0.08099375068174215,0.08635220718094566,0.05614055887810005,0.053127026173365184,0.03980675689348095,0.016335435770842836,0.008545885243842801,7.914922115186417e-05,0.0602166107721934,0.048237603,0.0820969337289812
key,0.024527800403106554,0.02539975650333646,0.0051564824172442595,0.007740769253286275,0.0,0.07385420402940304,0.028047892968991822,0.0012097321793747785,0.004607905899300598,0.01565816,0.029871414441147378
loudness,0.07176357799538592,0.05982414717349537,0.03317109251220424,0.06429343124845882,0.07709801368235689,0.21514088874697385,0.15499308988473648,0.4347555606919009,0.020298323321117438,0.033460546,0.0820969337289812
mode,0.010716838676027272,0.018846974519018417,0.011638187351485437,0.02426760849010727,0.0,0.06965122454776579,0.007945143490934475,0.0004248828174242154,0.011390055246162864,0.077226385,0.012067260138476756
speechiness,0.07275911726597471,0.04187043217962967,0.07249612808450438,0.08086896246272621,0.03563678698722186,0.005033237173797718,0.00013878998870407502,0.0,0.06277394121712977,0.0540012,0.10504451038575667
acousticness,0.12183111395021083,0.1299149690916735,0.13487364752839376,0.20179091602446403,0.2565875341283075,0.04472061341691025,0.009443062908768602,0.0003924112338874522,0.14108353293811596,0.10026111,0.10089020771513353
instrumentalness,0.19225202292291896,0.2666573950352373,0.4027605708197761,0.2726613888106392,0.2090090384031295,0.13266746238299446,0.015672523677104536,0.002908555938548457,0.4451561378993305,0.37690604,0.08664688427299704
liveness,0.04562171138840589,0.02972411899832622,0.012518533945435482,0.008020618200353253,0.0,0.011538633153388577,0.0002709833316788523,2.4694518317297954e-05,0.008024904952033576,0.017134044,0.05084075173095945
valence,0.0672809466054877,0.06516190400191434,0.04419427746188858,0.04751607010258937,0.06291579682984441,0.08308408899296955,0.011295767953767518,0.000429924008500665,0.03485330388892005,0.038527917,0.10722057368941643
tempo,0.04790346005189297,0.02956172178116333,0.02163176351414301,0.028936029384042005,0.0,0.0100832278160897,0.645662900059848,0.009759440531907653,0.019384896765499558,0.019238498,0.06231454005934718
time_signature,0.007771445361966165,0.016715367984882108,0.0035181749435694684,0.00721320942438596,0.0,0.14997571466762874,0.023546909457356695,-0.00042310401841905414,0.004102946121851102,0.03367126,0.011869436201780416
chorus_hit,0.04390865292754186,0.02698354273075289,0.01035364155447109,0.011056884096786882,0.0,0.0012700775519989313,0.06744035246385228,0.04678595931435206,0.009155763806878681,0.014550607,0.051434223541048464
sections,0.03562866589639865,0.03781481375012399,0.00919101165883583,0.015635270259093725,0.011663394283277433,0.0985357454632713,0.012336301334958548,0.08153660962947272,0.006734393262387158,0.031144587,0.03105835806132542
duration_ms,0.07281189501174312,0.04939974543706873,0.0691122830046875,0.08041928530780969,0.23640758278668095,5.0338332157449645e-06,0.004043747685098628,0.4216249650816719,0.058353747193410375,0.052308965,0.09772502472799209
