,RandomForest,ExtraTrees,GradientBoosting,HistGradientBoosting,AdaBoost,LinearSVC,SVC,SGD,GaussianNB,DecisionTree,XGBoost,LightGBM
danceability,0.10383845049471457,0.11834449777599922,0.1132730743426389,0.1003534221624581,0.07087509600570058,0.08810441245274958,0.0,0.01080908275121823,0.0004912188519090444,0.11405240360829116,0.097668186,0.10256410256410256
energy,0.08025941366804626,0.08796504848442625,0.05622999572150892,0.05031079829131257,0.03980675689348095,0.016335435770842836,0.0,0.008682515014941532,7.914922115186417e-05,0.060743121587334824,0.061746776,0.06964656964656965
key,0.025664637277293543,0.025505503688780778,0.005087529997022555,0.00767606175207242,0.0,0.07385420402940304,0.0,0.028391976334975505,0.0012097321793747785,0.00505713108107278,0.006243688,0.011088011088011088
loudness,0.07897508390721185,0.057449295804007414,0.033115305576121,0.062306945079493754,0.07709801368235689,0.21514088874697385,0.0,0.15963883078912197,0.4347555606919009,0.02018219789611263,0.038662247,0.06583506583506583
mode,0.010315122828706232,0.019566745007244903,0.01168239149898545,0.02568430156376208,0.0,0.06965122454776579,0.0,0.008051692295983306,0.0004248828174242154,0.011191195878778185,0.059254512,0.019404019404019403
speechiness,0.07194198921281919,0.043952963615259494,0.07247383510841206,0.07809493531638087,0.03563678698722186,0.005033237173797718,0.0,0.00016096224743354737,0.0,0.06289356430347415,0.045953646,0.13721413721413722
acousticness,0.11718814321038104,0.12555161043369492,0.13482015443527257,0.20497842334105698,0.2565875341283075,0.04472061341691025,0.0,0.009711140817059444,0.0003924112338874522,0.14140448652774992,0.12524222,0.1146916146916147
instrumentalness,0.18841135033767664,0.2644764449608019,0.40291950092413525,0.27498494653657907,0.2090090384031295,0.13266746238299446,0.0,0.016096422392131823,0.002908555938548457,0.4426756249397725,0.37799424,0.10602910602910603
liveness,0.045181358630088014,0.029992348466581657,0.012426730498096691,0.0077329196662340475,0.0,0.011538633153388577,0.0,0.00030872316384982613,2.4694518317297954e-05,0.007872504921248797,0.009593401,0.029452529452529453
valence,0.06816569757989076,0.06771978884748549,0.04417482940615142,0.04388551043665068,0.06291579682984441,0.08308408899296955,0.0,0.011484552589243602,0.000429924008500665,0.03585310464798775,0.03431425,0.11503811503811504
tempo,0.04796270535123669,0.029685083867058114,0.021602810981208413,0.026751541518798154,0.0,0.0100832278160897,0.0,0.6408337877601727,0.009759440531907653,0.019221539452021912,0.017685575,0.03291753291753292
time_signature,0.007407124645635858,0.016761845936732397,0.003514182380217328,0.0086639640803537,0.0,0.14997571466762874,0.0,0.02364037538990364,-0.00042310401841905414,0.004490565683801878,0.03843109,0.006237006237006237
chorus_hit,0.04444446490622339,0.027198337820933546,0.010248911509192746,0.011158871631162921,0.0,0.0012700775519989313,0.0,0.06667476556724387,0.04678595931435206,0.009082804646263591,0.007866716,0.029106029106029108
sections,0.0359811711464619,0.03801129478103631,0.009236521725554494,0.018563869265695677,0.011663394283277433,0.0985357454632713,0.0,0.012368669425341743,0.08153660962947272,0.007379327693259151,0.031546116,0.028066528066528068
duration_ms,0.07426328680361405,0.047819190509957685,0.06919422589548235,0.07885348935798912,0.23640758278668095,5.0338332157449645e-06,1.0,0.0031465034613793524,0.4216249650816719,0.05790042713283078,0.047797266,0.1327096327096327
