,RandomForest,ExtraTrees,GradientBoosting,HistGradientBoosting,AdaBoost,LinearSVC,SVC,SGD,GaussianNB,DecisionTree,XGBoost,LightGBM,CatBoost
danceability,0.10824701968308303,0.11183218394106542,0.11329769248889543,0.09704197851137175,0.07087509600570058,0.08810405537256898,0.0,0.010763022819607783,0.0004912188519090444,0.11368576135444854,0.08767312,0.08882294757665678,0.10605710099369975
energy,0.08659907564433934,0.08375334650791007,0.056255855895841846,0.0518432457328833,0.03980675689348095,0.01633544887593848,0.0,0.00863510009932211,7.914922115186417e-05,0.0601777684851995,0.048237603,0.0820969337289812,0.06964570688912193
key,0.022661770867043244,0.02565089479532454,0.005075994672739921,0.009841799858354094,0.0,0.07385517266751601,0.0,0.028380212776422897,0.0012097321793747785,0.004225188782373195,0.01565816,0.029871414441147378,0.008853742617326481
loudness,0.07331747092859983,0.05697000646333012,0.03317081160810841,0.058514424624792415,0.07709801368235689,0.21514215203979933,0.0,0.15845765063931017,0.4347555606919009,0.02048414309629311,0.033460546,0.0820969337289812,0.04766173238492822
mode,0.00986881734740937,0.018966811044298138,0.011705063738821948,0.025541076293143592,0.0,0.06965091112680737,0.0,0.008039663584757033,0.0004248828174242154,0.011335382467783034,0.077226385,0.012067260138476756,0.01767411754001258
speechiness,0.07211126229858088,0.04236726983512846,0.07229026901212872,0.07907716911874309,0.03563678698722186,0.005033210947479059,0.0,0.0001554435778464734,0.0,0.06270900075692339,0.0540012,0.10504451038575667,0.07938051771045207
acousticness,0.11817850424882385,0.12871184123663545,0.13492164267212772,0.1981226298585252,0.2565875341283075,0.04472048729774293,0.0,0.009634606015755484,0.0003924112338874522,0.1412314630488873,0.10026111,0.10089020771513353,0.16012954593942197
instrumentalness,0.19038683878749801,0.26723140527928835,0.40284867929383716,0.27440458458226336,0.2090090384031295,0.13266693065182722,0.0,0.01598324095985769,0.002908555938548457,0.4429926143684172,0.37690604,0.08664688427299704,0.24157834532375064
liveness,0.042979882936268775,0.030410103991238502,0.01242847803087852,0.011824027451847002,0.0,0.011538573716714039,0.0,0.00029775061265099856,2.4694518317297954e-05,0.008704950299096476,0.017134044,0.05084075173095945,0.012572304287641401
valence,0.07227136698011645,0.07364107417859424,0.044226417033481,0.04916411434954676,0.06291579682984441,0.08308376691569028,0.0,0.011429721582912953,0.000429924008500665,0.035354853013922764,0.038527917,0.10722057368941643,0.06477369485041279
tempo,0.046365218667195354,0.03005309054889008,0.021638524257826888,0.027216701756241895,0.0,0.010083312641910433,0.0,0.6417653472507788,0.009759440531907653,0.01949794297746533,0.019238498,0.06231454005934718,0.02913349889619962
time_signature,0.007464324402066225,0.017519217793869862,0.003510237238943973,0.008611147263045274,0.0,0.14997514234972453,0.0,0.023654405965140308,-0.00042310401841905414,0.0043776332341756595,0.03367126,0.011869436201780416,0.009682150884033396
chorus_hit,0.04194778403005769,0.02745087201542949,0.010340022581733251,0.008882640980450164,0.0,0.0012701852628136227,0.0,0.06667179051696201,0.04678595931435206,0.008891949359135393,0.014550607,0.051434223541048464,0.010190686689503918
sections,0.03412221060381565,0.037669001786410396,0.009185596082767488,0.014586148620859518,0.011663394283277433,0.09853561632251341,0.0,0.012461279594316166,0.08153660962947272,0.006822260645601596,0.031144587,0.03105835806132542,0.0394505598181769
duration_ms,0.07347845257510226,0.0477728805825868,0.06910471539186784,0.08532831099793267,0.23640758278668095,5.033810954328983e-06,1.0,0.003670764004359173,0.4216249650816719,0.059509088110277726,0.052308965,0.09772502472799209,0.10321629517531831
