,RandomForest,ExtraTrees,GradientBoosting,HistGradientBoosting,AdaBoost,LinearSVC,SGD,GaussianNB,DecisionTree,XGBoost,LightGBM,CatBoost
danceability,0.10541491858272002,0.11502627642172554,0.1208621625855848,0.09815479724578381,0.07087509600570058,0.08810441245274958,0.010806347513750078,0.0004912188519090444,0.11336608420712113,0.08767312,0.09057527539779682,0.10605710099369975
energy,0.08363498619791761,0.09387725387877283,0.04997634960388181,0.052878700448999144,0.03980675689348095,0.016335435770842836,0.00854812000218992,7.914922115186417e-05,0.06061287779494363,0.048237603,0.07915136678906569,0.06964570688912193
key,0.02506199824900617,0.025551755381244608,0.0008030875283950368,0.010863437542943713,0.0,0.07385420402940304,0.032951185598883694,0.0012097321793747785,0.004475248268577962,0.01565816,0.03243574051407589,0.008853742617326481
loudness,0.07404298911879986,0.054306760700796285,0.02176423236409227,0.06976249674013839,0.07709801368235689,0.21514088874697385,0.17192898638082946,0.4347555606919009,0.01987558688028665,0.033460546,0.08098735210118319,0.04766173238492822
mode,0.010078664897732618,0.018836852248782152,0.013586982596058715,0.025790353669213735,0.0,0.06965122454776579,0.0065891031714762705,0.0004248828174242154,0.011128339935747548,0.077226385,0.01040391676866585,0.01767411754001258
speechiness,0.07181715177822952,0.04270016344363281,0.07271598543028172,0.07839505647319081,0.03563678698722186,0.005033237173797718,0.0,0.0,0.06280812483749919,0.0540012,0.10832313341493269,0.07938051771045207
acousticness,0.11820454546198318,0.11771767914843088,0.14311760069429263,0.19482899170516643,0.2565875341283075,0.04472061341691025,0.01005114294014784,0.0003924112338874522,0.14148913169497454,0.10026111,0.09445124439004488,0.16012954593942197
instrumentalness,0.18825738035135697,0.2721892351590599,0.45386248541317226,0.2735824761745806,0.2090090384031295,0.13266746238299446,0.016458447600054625,0.002908555938548457,0.4448675021457504,0.37690604,0.08629130966952264,0.24157834532375064
liveness,0.044923738437182184,0.030116908466831016,0.004664179189089014,0.008602131581729405,0.0,0.011538633153388577,0.0,2.4694518317297954e-05,0.008499186358114056,0.017134044,0.05813953488372093,0.012572304287641401
valence,0.06920981490689261,0.07013924648121111,0.03215927455542107,0.04636705605373303,0.06291579682984441,0.08308408899296955,0.011425271792319997,0.000429924008500665,0.035415250323184023,0.038527917,0.10383516931864545,0.06477369485041279
tempo,0.04829787932805932,0.029906366080596457,0.009211949257429245,0.024222795232050873,0.0,0.0100832278160897,0.6578979959360282,0.009759440531907653,0.018201148281855727,0.019238498,0.06793145654834762,0.02913349889619962
time_signature,0.007335140328246101,0.01675975308013643,0.0031295989788960536,0.007961508979298175,0.0,0.14997571466762874,0.021757250013436227,-0.00042310401841905414,0.004260343733345972,0.03367126,0.010607915136678907,0.009682150884033396
chorus_hit,0.04398121800019803,0.027192725067775994,0.002679683852505581,0.008546662248722922,0.0,0.0012700775519989313,0.03652485403691711,0.04678595931435206,0.00940815702175385,0.014550607,0.04814361485108119,0.010190686689503918
sections,0.03597016443313969,0.03815305354147054,0.0077280023676226895,0.01735103809700644,0.011663394283277433,0.0985357454632713,0.015061295013966377,0.08153660962947272,0.0072234451817155395,0.031144587,0.032843737250102,0.0394505598181769
duration_ms,0.07376940992853612,0.047525970899533324,0.06373842558327691,0.08269249780744252,0.23640758278668095,5.0338332157449645e-06,0.0,0.4216249650816719,0.05836957333512952,0.052308965,0.09587923296613628,0.10321629517531831
