,RandomForest,ExtraTrees,GradientBoosting,HistGradientBoosting,AdaBoost,LinearSVC,SGD,DecisionTree,XGBoost,LightGBM,CatBoost
danceability,0.12046692236795306,0.13846827380796223,0.12957531128918712,0.16386145417484008,0.1329371153093661,0.04685912865718007,0.009359154569512133,0.13232365650710606,0.08337736,0.1332312404287902,0.14174142515355695
energy,0.07373507537285953,0.08800724854141684,0.05063676473167957,0.05856558784854284,0.06163552044560241,0.01167917266466013,0.00498923759143513,0.03201457061128482,0.058430776,0.08346094946401225,0.07533149814260455
key,0.022106119325399035,0.027131338206589323,0.0011793462735886905,0.005232328300923944,0.0,0.062087302445296616,0.02985560244228845,0.007174143264405763,0.013272087,0.026033690658499236,0.013622365461950788
loudness,0.09641956877768784,0.08230305859902032,0.06308454249212307,0.13702523180054432,0.26145869482227846,0.5393263646134617,0.11700345255425221,0.04576540375550533,0.06559231,0.10872894333843798,0.10963828341582607
mode,0.008168618810675743,0.017472290910424654,0.006938539348081517,0.017561133584100018,0.008622775899894238,0.028798330133561905,0.007319648314168437,0.004224978735309698,0.044113215,0.016845329249617153,0.027927285091333638
speechiness,0.05315460226490518,0.04309613181287994,0.03269469220109402,0.027059489559733838,0.015657918917092138,0.003664057319133401,0.0,0.04423659543866661,0.0361298,0.09188361408882083,0.05073877854531988
acousticness,0.09154577698580371,0.09780884566620658,0.04767524180064077,0.08938050384496897,0.06807108102662461,0.02000847744880944,0.004232464857833234,0.07877527791780346,0.07130797,0.08422664624808576,0.08110959406013896
instrumentalness,0.22363283966672767,0.2329557142655829,0.5289714429397339,0.2837025198330808,0.20307051565381404,0.05836477114588024,0.011122864428747239,0.4814745157971478,0.42898488,0.08346094946401225,0.22603256879537464
liveness,0.03741037363591779,0.03193986930090481,0.004311755573789062,0.006735802237356772,0.0,0.0037872502122209763,0.0,0.01571269598923583,0.014141421,0.04058192955589587,0.014701137755604355
valence,0.06464738401165716,0.06215698397170852,0.022385194812137924,0.04271190450122426,0.003681471926595372,0.036124572061040076,0.008429232901251676,0.03107488417521388,0.030747607,0.07656967840735068,0.05849871449976723
tempo,0.038661509057388174,0.03194345392816778,0.006831965780453508,0.024791220410581415,0.0,0.04109029530704237,0.6565203014062353,0.01876168472420557,0.015229972,0.0903522205206738,0.027990761206044813
time_signature,0.004781620119412698,0.013408622683865138,0.0007286760700783054,0.0018726960420476244,0.0,0.07796782005603631,0.029724057385634155,0.0026999971028913695,0.016155256,0.010719754977029096,0.008150710671822645
chorus_hit,0.03519230683744801,0.02803720091836706,0.0030943317038078714,0.008202918457100833,0.0,0.0010487865013209352,0.09292706464762977,0.0131608850877709,0.012960109,0.04058192955589587,0.018234989960889562
sections,0.03249598370825104,0.037821707457761124,0.0008913982542374391,0.007027045653374787,0.0,0.06918199860175926,0.01610657521969523,0.00638007851139419,0.013791274,0.020673813169984685,0.014988505765113585
duration_ms,0.09758129905791335,0.06744925992914269,0.10100079672936713,0.1262701637515796,0.24486490599873267,1.1672832596431025e-05,0.012410343681316917,0.08622063238205863,0.095765926,0.09264931087289434,0.1312933814746523
