,RandomForest,ExtraTrees,GradientBoosting,HistGradientBoosting,AdaBoost,LinearSVC,SVC,SGD,GaussianNB,DecisionTree,XGBoost,LightGBM
danceability,0.09594727395057923,0.10825045823230862,0.06543068559265659,0.10105035283269609,0.17844976634948861,0.0648860145602073,0.0,0.008496893589014001,0.0019091651142596477,0.0634908230060555,0.05270011,0.1196717574652382
energy,0.09315434181712494,0.09865600664287275,0.08974219027807286,0.14004085807268127,0.11342677914819109,0.005341313764869838,0.0,0.004701836772171851,0.0,0.08900107570245182,0.07424518,0.09528151356279918
key,0.021835052559351305,0.030172525019155665,0.004342988771146869,0.0049746260526432485,0.0,0.08992438152315117,0.0,0.027902160515456305,0.0009751101025796477,0.016324156862979552,0.01868299,0.028037383177570093
loudness,0.102867815088334,0.07988108210656536,0.057492769815854196,0.15774746030103262,0.07003641753982108,0.3725116591167285,0.0,0.09770391783848205,0.43701417132588855,0.055219838800342806,0.051499918,0.08707545019375428
mode,0.005655688980657207,0.013419263410278853,0.0007530745971699255,0.001392474225701348,0.0,0.02429791875828258,0.0,0.003975003544898931,0.000991271357669985,0.0015521432901582533,0.023361208,0.00501481650330522
speechiness,0.04374993589679163,0.038557096608607296,0.02516291041346782,0.024423126526831204,0.0,0.006785870721588461,0.0,0.0010127621035248837,0.0,0.022591142403215844,0.029273378,0.07453840893549123
acousticness,0.09191005464119335,0.0701912821720352,0.04773780859129873,0.09064401945238156,0.1895753886019766,0.007995440928775348,0.0,0.0030266461093811973,4.118599467865684e-05,0.040910907823805805,0.050110463,0.0893549122407112
instrumentalness,0.2682662313981819,0.2947411882567196,0.5789720487326614,0.32177555226729393,0.29103114518379203,0.09792160586266768,0.0,0.011430605819159528,0.0028182523684214316,0.5522882948370131,0.4914038,0.13722361522680648
liveness,0.03702598022237452,0.033835947055242885,0.007516791174322461,0.009150125322503894,0.0039055332013415516,0.007465785275905029,0.0,0.0,9.81880500298132e-05,0.022060977388765085,0.020531856,0.05835422840209711
valence,0.06290914613953486,0.05974636976789615,0.05640004802934636,0.06678609819106328,0.048426571267876806,0.034316270856030916,0.0,0.006301116224694575,0.001786119652914544,0.0433932086984866,0.047067117,0.08889901983131981
tempo,0.038822119062993474,0.033291493793881216,0.013831226638192484,0.016548054574127252,0.009224505915731212,0.01860792473157909,0.0,0.7061174020197785,0.0030964289281872363,0.013624832491689618,0.023497332,0.06587645315705494
time_signature,0.007320653615849881,0.014484765495863977,0.0042228837381452925,0.008258775802250326,0.006869805907400779,0.12090046209309832,0.0,0.024232874377526564,0.0010734085390297036,0.002094234894628741,0.04171678,0.00888990198313198
chorus_hit,0.03726594868451963,0.030996224579899725,0.008549587504520778,0.007877464481422599,0.0,0.009406002397555867,0.0,0.08103248137888322,0.04241732330279718,0.02741271616268617,0.018199477,0.04946432641896512
sections,0.025508961817853656,0.03532729820526475,0.0029156992099954654,0.003601609700762821,0.0,0.13962851831371076,0.0,0.021410732425961625,0.039313418047712316,0.009805084279736238,0.015112017,0.022110781855482105
duration_ms,0.06776079612466045,0.05844899865340795,0.036929286913148986,0.045729402196608405,0.08905408688438002,1.0831095849259399e-05,1.0,0.002655567281066863,0.46846595721583123,0.04023056335798474,0.042598255,0.07020743104627308
