,RandomForest,ExtraTrees,GradientBoosting,HistGradientBoosting,AdaBoost,LinearSVC,SVC,SGD,DecisionTree,XGBoost,LightGBM,CatBoost
danceability,0.10145456960722461,0.11263028236967167,0.06506183326560983,0.10377522673675678,0.17844976634948861,0.06488647220707416,0.0,0.008549510250681116,0.06646512311285302,0.054688856,0.13328313253012047,0.11076846667325688
energy,0.09185120714656132,0.10380931122286889,0.09006522012365907,0.13524932871265397,0.11342677914819109,0.005341537925973653,0.0,0.004549491823600924,0.08926750990306029,0.08517707,0.11596385542168675,0.1503720864427061
key,0.02000846021076857,0.030507032508700502,0.0042371162896515996,0.005475351053906316,0.0,0.08992498706417593,0.0,0.029693775503323628,0.014396254903722145,0.012371327,0.009789156626506024,0.010280965640951295
loudness,0.10070449697288607,0.07933867670233094,0.05765234378192326,0.1568766940475606,0.07003641753982108,0.3725073123386894,0.0,0.0948982761718372,0.05680375825234683,0.053284995,0.10993975903614457,0.09392719634053294
mode,0.004672865873643976,0.013649572332845316,0.000737280314700182,0.001683788757476634,0.0,0.02429813838897524,0.0,0.0048329489457313735,0.0013565976787997332,0.018613411,0.0007530120481927711,0.009268488343272242
speechiness,0.042716933022859935,0.038723750229101316,0.02504436381790637,0.023278022694037056,0.0,0.006785914214433176,0.0,0.0011932741917652083,0.02279478228894177,0.023572065,0.05421686746987952,0.02945692332495267
acousticness,0.09182525728536381,0.07084998538928852,0.047801518273383685,0.08780930009124223,0.1895753886019766,0.007995245293042833,0.0,0.003091622196279336,0.04122109557647902,0.05615936,0.09186746987951808,0.0817352755556738
instrumentalness,0.2802529026447554,0.27934552584821115,0.5791252839954744,0.32064633055182795,0.29103114518379203,0.09792213520638504,0.0,0.011547518062312495,0.5524448588558465,0.50865775,0.15512048192771086,0.284047949750807
liveness,0.034371687085049396,0.033692970570339285,0.007290971811399598,0.009960848299659547,0.0039055332013415516,0.007465857710143867,0.0,0.00029266685745486483,0.02146634096149758,0.012490552,0.04743975903614458,0.01844726007357913
valence,0.06556078318150446,0.0645979390272407,0.05643276771391198,0.07082885135258077,0.048426571267876806,0.034316473884553174,0.0,0.005992126027976012,0.04338305290565288,0.048066303,0.09337349397590361,0.07205493736464168
tempo,0.03606254787442296,0.03314123817317499,0.014006970525161106,0.01774281235601586,0.009224505915731212,0.018608316460064202,0.0,0.7065016140567194,0.014083666301198717,0.01951732,0.06475903614457831,0.0257907169420002
time_signature,0.00791514031944728,0.015689622791749517,0.004174579763989596,0.007681812446619211,0.006869805907400779,0.12090152025681529,0.0,0.02399363559290099,0.0014534583780152351,0.03538259,0.01430722891566265,0.01627054583727477
chorus_hit,0.03434664054630986,0.030553675407858732,0.008737906375307115,0.006491828187282165,0.0,0.009405405508215557,0.0,0.07887943739384246,0.026348439774002953,0.007304159,0.0286144578313253,0.012944211438840725
sections,0.02377892823525062,0.035719398730417205,0.0028106662622207185,0.0037092548027545134,0.0,0.1396298521409792,0.0,0.021599856275212156,0.01009173636911407,0.008056719,0.01581325301204819,0.013819432866660285
duration_ms,0.06447757999395175,0.057751018696201556,0.03682117768570149,0.048790549909626536,0.08905408688438002,1.0831400479304396e-05,1.0,0.004384246650362909,0.03842332473846922,0.056657605,0.06475903614457831,0.07081554340485008
