,RandomForest,ExtraTrees,GradientBoosting,HistGradientBoosting,AdaBoost,LinearSVC,SVC,SGD,DecisionTree,XGBoost,LightGBM,CatBoost
danceability,0.08282660698019705,0.08096945731311589,0.1001588460510197,0.08862036021647221,0.04664459276592572,0.056883061314155346,0.0,0.008802905504161032,0.08155171615497371,0.08187087,0.10511590727418066,0.09079104196715602
energy,0.07725964963836497,0.07541193400656218,0.05602244403497188,0.09664363559025206,0.009358523481796426,0.04186966688603768,0.0,0.010523294706113615,0.057005218763094515,0.056081194,0.07354116706634692,0.062186865771866204
key,0.014109301482508975,0.03975887915403932,0.0053037545418669115,0.02375087765253108,0.0,0.03436264599885983,0.0,0.018410018403891285,0.008326184090521816,0.024008967,0.020783373301358914,0.012307191789268559
loudness,0.07822673807425166,0.061845140703125946,0.03147520272128405,0.05376053875740191,0.05374536754807941,0.3653734765332735,0.0,0.13613743694049418,0.02573412134139594,0.04316109,0.07553956834532374,0.047084242851999164
mode,0.00804462052070304,0.019624751555024546,0.006752784676379599,0.026264390016642002,0.009051685274900013,0.057457824184781,0.0,0.008319832360333188,0.004947192632700795,0.05201557,0.011590727418065548,0.02239742779181642
speechiness,0.096538067449634,0.06850770344520996,0.12436088268547499,0.10707541792109287,0.08154917649891412,0.008979652927859941,0.0,0.0006867866096011061,0.11431190469866519,0.078147605,0.13069544364508393,0.1162988559771742
acousticness,0.13538364785512103,0.12848195728701503,0.1590053349825109,0.13172164607078207,0.14818470643672405,0.06939545372292812,0.0,0.010986587601599873,0.16562513303348214,0.10542784,0.09952038369304557,0.13196783085307703
instrumentalness,0.19533291996327354,0.17797857367742634,0.28999262275203747,0.1543567280265904,0.15040956452983162,0.10542358948149747,0.0,0.015310991766141624,0.28313580205569544,0.2255114,0.09632294164668265,0.20637273136462833
liveness,0.03119450606251875,0.04235586662775067,0.015415175226420845,0.028489501055532187,0.0,0.007243805835879224,0.0,0.0,0.02633348208149523,0.024776015,0.05315747402078337,0.020730129854459205
valence,0.05759162499844806,0.07083335638910475,0.018192775812845372,0.04993866645317988,0.034239594251953144,0.06948987811504316,0.0,0.012677832606401727,0.03386904155828789,0.034162756,0.053557154276578735,0.034188497607315384
tempo,0.03283093372030163,0.04874064341545963,0.02665975241456405,0.04868707727606885,0.0,0.02317971470429455,0.0,0.6693784938043336,0.03387237582890446,0.03231181,0.060751398880895285,0.02674907145745189
time_signature,0.015312868997110233,0.02640597312565389,0.012007557018195406,0.0155963412880268,0.023564325670583256,0.13172303503541638,0.0,0.02460166509210349,0.004822163762065435,0.07695379,0.012789768185451638,0.02607109223306652
chorus_hit,0.02797484125830853,0.04207480550147373,0.016593008131618153,0.0334275695486057,0.0,0.013230327609079254,0.0,0.08261215258354211,0.018998837997967716,0.027502231,0.047961630695443645,0.01834182927548603
sections,0.0380128888801241,0.05184860966763656,0.018467421127238946,0.03105476988379899,0.046846385258782354,0.0153870872939034,0.0,0.0015520020212832122,0.01740929619635507,0.049417555,0.03677058353317346,0.0388392815603501
duration_ms,0.10936078411913445,0.06516234813140165,0.11959243782357176,0.110612480243023,0.39640607828250984,7.803569911612882e-07,1.0,0.0,0.12405752980439462,0.088651344,0.12190247801758593,0.14567390964488516
